imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0457430,Pan's Labyrinth,El laberinto del fauno,2006,2006-11-24,"Drama, Fantasy, War",118,"Mexico, Spain",Spanish,Guillermo del Toro,Guillermo del Toro,Estudios Picasso,"Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué, Gonzalo Uriarte, Eusebio Lázaro, Francisco Vidal, Juanjo Cucalón, Lina Mira","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,583872,$ 19000000,$ 37634615,$ 83258226,98.0,1225.0,446.0
tt0017136,Metropolis,Metropolis,1927,1927-02-06,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,148396,DEM 6000000,$ 1236166,$ 1349711,98.0,471.0,194.0
tt0040897,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,1948,1948-01-24,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",John Huston,"John Huston, B. Traven",Warner Bros.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,106099,$ 3000000,$ 215295,$ 215295,98.0,256.0,94.0
tt0053125,North by Northwest,North by Northwest,1959,1960-02-19,"Adventure, Mystery, Thriller",136,USA,"English, French",Alfred Hitchcock,Ernest Lehman,Metro-Goldwyn-Mayer (MGM),"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt, Robert Ellenstein, Les Tremayne, Philip Coolidge, Patrick McVey, Edward Binns",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,8.3,278744,$ 3101000,,$ 55597,98.0,569.0,164.0
tt0042192,All About Eve,All About Eve,1950,1951-02-02,Drama,138,USA,"English, French",Joseph L. Mankiewicz,Joseph L. Mankiewicz,Twentieth Century Fox,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,8.2,112198,$ 1400000,$ 63463,$ 150438,98.0,358.0,128.0
tt0047478,Shichinin no samurai,Shichinin no samurai,1954,1954-04-26,"Action, Adventure, Drama",207,Japan,Japanese,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto",Toho Company,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,8.6,292222,JPY 125000000,$ 318649,$ 322773,98.0,655.0,121.0
tt0042876,Rashômon,Rashômon,1950,1957-11-01,"Crime, Drama, Mystery",88,Japan,Japanese,Akira Kurosawa,"Ryûnosuke Akutagawa, Akira Kurosawa",Daiei Motion Picture Company,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijirô Ueda, Noriko Honma, Daisuke Katô","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",8.2,139567,$ 250000,$ 46808,$ 46808,98.0,319.0,137.0
tt0029453,Pépé le Moko,Pépé le Moko,1937,1937-01-28,"Crime, Drama, Romance",94,France,"French, Arabic",Julien Duvivier,"Henri La Barthe, Henri La Barthe",Paris Film,"Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin, Lucas Gridoux, Gilbert Gil, Marcel Dalio, Charles Granval, Gaston Modot, René Bergeron, Paul Escoffier, Roger Legris, Jean Témerson, Robert Ozanne, Philippe Richard","A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.",7.7,5811,,$ 155895,$ 155895,98.0,44.0,54.0
tt0031381,Gone with the Wind,Gone with the Wind,1939,1942-09-04,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,269664,$ 3977000,$ 200852579,$ 402352579,97.0,808.0,183.0
tt0054177,Le petit soldat,Le petit soldat,1963,1963-01-25,"War, Drama",88,France,French,Jean-Luc Godard,Jean-Luc Godard,Les Productions Georges de Beauregard,"Michel Subor, Anna Karina, Henri-Jacques Huet, Paul Beauvais, László Szabó","During the Algerian War, a man and woman from opposing sides fall in love with one another.",7.3,5405,$ 180000,$ 24296,$ 24296,97.0,25.0,33.0
